"","title","type","score","scored_by","members","episodes","source","start_year"
"5985","School Days","tv",5.55,371551,613654,12,"visual novel",2007
"5986","Uchuu no Kishi Tekkaman Blade OVA: Twin Blood","ova",6.99,1328,3757,1,NA,1994
"5987","Ane Chijo♥Max Heart","ova",6.63,2912,8432,4,"light novel",2018
"5988","Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho","ova",6.56,3517,8938,4,"manga",NA
"5989","Oppai Life","ova",6.57,3409,8770,2,"visual novel",2008
"5990","School","ova",6.72,2299,7048,2,"original",2011
"5991","Monster Strike","ona",6.41,5820,23137,51,"game",2015
"5992","Show By Rock!! Short!!","tv",6.46,4850,13009,12,"game",2016
"5993","Kyoukai Senki","tv",6.31,8423,25898,13,"original",2021
"5994","Future Card Buddyfight Hundred","tv",6.68,2535,5192,50,"card game",2015
"5995","Daiakuji: The Xena Buster","ova",6.61,3083,7419,6,"visual novel",2003
"5996","ēlDLIVE","tv",6.12,17652,45729,12,"manga",2017
"5997","Peter Pan no Bouken","tv",6.82,1841,4216,41,"book",1989
"5998","Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap","ona",7.11,1007,5025,1,"original",2017
"5999","Toaru Kagaku no Railgun T: Motto Marutto Railgun","special",6.87,1664,5416,2,"manga",2020
"6000","Wooser no Sono Higurashi: Kakusei-hen","tv",6.6,3150,6167,12,"web manga",2014
"6001","Koneko no Chi: Ponponra Daibouken","tv",6.82,1836,6760,51,"manga",2016
"6002","Starry☆Sky","ona",6.11,18148,50662,26,"visual novel",2010
"6003","Jinkou Shoujo: Henshin Sex Android","ova",6.66,2647,6488,2,"original",2009
"6004","Ai Shimai: Futari no Kajitsu","ova",6.47,4620,10247,3,"visual novel",2001
"6005","Suteki Tantei Labyrinth","tv",6.7,2377,9451,25,"manga",2007
"6006","Kiriya Hakushaku Ke no Roku Shimai","ova",6.68,2510,7030,2,"visual novel",2011
"6007","Uchuu Senkan Yamato 2205: Aratanaru Tabidachi","ova",7.41,526,4936,8,"original",2021
"6008","Getsuyoubi no Tawawa 2 Special","special",6.68,2508,9222,1,"other",2021
"6009","Ai Tenshi Densetsu Wedding Peach DX","ova",6.68,2508,5572,4,"manga",1996
"6010","Kiniitta Chitsu ni Ikinari Nakadashi OK na Resort-tou","ona",6.9,1541,4009,2,"manga",2017
"6011","Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?","ova",6.42,5475,12571,1,"visual novel",2011
"6012","Mini Sengoku Basara: Chousokabe-kun to Mouri-kun","special",6.75,2121,5152,7,NA,2009
"6013","Glass no Kantai: La Legende du Vent de l'Univers","tv",6.56,3444,11340,24,"original",2006
"6014","Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama","special",6.68,2499,9004,1,NA,2015
"6015","Gensoumaden Saiyuuki: Kibou no Zaika","ova",6.93,1439,4396,1,"manga",2002
"6016","Doraemon Movie 18: Nobita no Nejimaki City Boukenki","movie",6.83,1778,3444,1,NA,1997
"6017","Hana no Ko Lunlun","tv",6.92,1459,4848,50,"original",1979
"6018","Muma no Machi Cornelica","ova",6.63,2846,6861,4,"visual novel",2018
"6019","Nonsense Bungaku","music",7.1,1015,1597,1,"original",2017
"6020","Kanpeki Ojousama no Watakushi ga Dogeza de Mazo Ochisuru Choroin na Wakenai desu wa!","ova",6.68,2496,7168,4,"light novel",2019
"6021","Wake Up, Girls! Shin Shou","tv",6.53,3787,12686,12,"original",2017
"6022","Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to","ova",6.8,1903,5314,1,"manga",2019
"6023","Black Magic M-66","ova",6.37,6470,14324,1,"manga",1987
"6024","Karakai Jouzu no Takagi-san Movie","movie",7.61,391,30090,1,"manga",2022
"6025","Daybreak Interlude","music",7.05,1129,2268,1,"game",2017
"6026","Ganbare Genki","tv",7.38,548,2311,35,"manga",1980
"6027","Kowaremono: Risa The Animation","ova",6.51,4019,8613,1,"manga",2016
"6028","Eine Kleine","music",7.03,1183,1983,1,"other",2014
"6029","Himawari!","tv",6.33,7372,23219,13,"original",2006
"6030","The iDOLM@STER Cinderella Girls 2nd Anniversary PV","music",6.91,1491,4136,1,"game",2013
"6031","Ling Jian Zun 4th Season","ona",7.35,579,1997,280,"novel",2020
"6032","Altered Carbon: Resleeved","ona",6.44,5010,8431,1,"other",2020
"6033","Tide-Line Blue","tv",6.63,2832,7015,12,"original",2005
"6034","Imouto Paradise! 3 The Animation","ova",6.64,2748,6597,2,"visual novel",2018
"6035","Popotan","tv",6.27,9497,22813,12,"visual novel",2003
"6036","Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress","movie",6.85,1694,4045,1,"original",2013
"6037","Mamotte Shugogetten!","tv",6.66,2594,7951,22,"manga",1998
"6038","Nee, ...Shiyo♥","ova",6.56,3391,7917,2,"manga",2018
"6039","Fanren Xiu Xian Chuan: Mo Dao Zheng Feng","ona",7.53,433,1239,25,"novel",2021
"6040","Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!","movie",7.04,1150,3209,1,"original",2015
"6041","Honoo no Tenkousei","ova",6.62,2879,6272,2,"manga",1991
"6042","Shining Hearts: Shiawase no Pan","tv",6.13,16235,41481,12,"game",2012
"6043","Animal Yokochou","tv",7.18,831,2727,51,"manga",2005
"6044","Aquarion Movie: Ippatsu Gyakuten-hen","movie",6.74,2124,6245,1,NA,2007
"6045","Ingress the Animation","tv",6.31,7861,26368,11,"game",2018
"6046","Granblue Fantasy The Animation Season 2 Extras","special",6.55,3471,9276,2,"game",2020
"6047","Shoujo Shuumatsu Jugyou","ona",6.46,4618,10236,12,"manga",2017
"6048","Touch: Cross Road - Kaze no Yukue","special",6.9,1498,3070,1,NA,2001
"6049","Onkyo Seimeitai Noiseman","movie",6.48,4306,9359,1,"original",1997
"6050","Kaze no Na wa Amnesia","movie",6.33,7143,17074,1,"light novel",1990
"6051","YAT Anshin! Uchuu Ryokou","tv",7.21,765,2024,50,"original",1996
"6052","ChäoS;Child Episode 0","special",6.23,10540,21556,1,"visual novel",2017
"6053","Kyonyuu Dosukebe Gakuen","ova",6.58,3187,8689,2,"visual novel",2018
"6054","Blade","tv",6.22,10977,26149,12,"other",2011
"6055","Taimanin Yukikaze","ova",6.49,4175,10918,3,"visual novel",2013
"6056","Fatal Fury: Legend of the Hungry Wolf","special",6.41,5444,9772,1,"game",1992
"6057","Cross Fight B-Daman","tv",6.5,4047,7273,52,NA,2011
"6058","Benghuai 3: Reburn","ona",6.92,1421,3663,1,"game",2017
"6059","Hanayaka Nari, Waga Ichizoku: Kinetograph","ova",6.38,6009,14701,2,"visual novel",2012
"6060","Nekojiru Gekijou Jirujiru Original","tv",6.45,4721,10568,27,"manga",1999
"6061","Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma na Hibi","special",6.81,1800,6133,1,NA,2006
"6062","Jewelry The Animation","ova",6.6,2989,6114,1,"manga",2018
"6063","Tonari no Ie no Anette-san The Animation","ova",6.65,2607,5784,1,"manga",2020
"6064","Juan Siliang","ona",7.53,425,1294,15,"original",2021
"6065","Pokemon Introductory Recap","movie",6.43,4985,10692,1,"game",1998
"6066","Mister Ajikko","tv",7.1,979,4328,99,"manga",1987
"6067","Maken-Ki! Specials","special",6.17,13285,30131,6,"manga",2011
"6068","Hime-sama Love Life!","ova",6.65,2602,6897,4,"visual novel",2019
"6069","Bear Bear Bear Kuma!","ona",6.58,3153,6824,12,"light novel",2020
"6070","Shoujo Kyouiku","ova",6.49,4115,9870,2,"visual novel",2015
"6071","Euphoria","ova",5.89,40946,74525,6,"visual novel",2011
"6072","Prima Doll","tv",6.81,1786,14634,12,"mixed media",2022
"6073","Koukou Butouden Crows","ova",6.81,1786,4246,2,"manga",1994
"6074","Eden (ONA)","ona",6.36,6326,15277,4,"original",2021
"6075","Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru","special",6.75,2039,7800,1,"mixed media",2014
"6076","Torokase Orgasm The Animation","ova",6.84,1675,3844,1,"manga",2021
"6077","Mikan Enikki","tv",7.21,754,2724,30,"manga",1992
"6078","11eyes: Momoiro Genmutan","special",6.04,22805,39382,1,"visual novel",2010
"6079","Madou King Granzort","tv",7.25,686,2207,41,"original",1989
"6080","Paizuri Cheerleader vs. Sakunyuu Ouendan!","ova",6.68,2360,6223,1,"visual novel",2014
"6081","Black Shout","music",6.92,1393,2692,1,"original",2017
"6082","Ochame na Futago: Claire Gakuin Monogatari","tv",7.08,1006,2618,26,"novel",1991
"6083","Baraou no Souretsu","tv",6.27,8908,49400,24,"manga",2022
"6084","Ace wo Nerae! (1979)","movie",6.88,1522,3763,1,NA,1979
"6085","Soukou Kihei Votoms: Kakuyaku taru Itan","ova",6.92,1390,3320,5,"original",1994
"6086","Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza","special",6.53,3553,10388,11,"manga",2004
"6087","Wu Geng Ji Zhi San Jie","ona",7.28,637,2116,42,"manga",2019
"6088","Princess Knight☆Catue","ova",6.67,2408,6206,3,"visual novel",2010
"6089","Idol Densetsu Eriko","tv",6.89,1474,5057,51,"original",1989
"6090","Caligula (TV)","tv",6.01,24956,72798,12,"game",2018
"6091","Buta","movie",6.44,4701,8466,1,"original",2012
"6092","Bem","tv",6.06,19990,64176,12,"original",2019
"6093","Isuca: Gokuraku","ova",6.26,9085,20643,1,"manga",2015
"6094","Ochamegami Monogatari: Korokoro Pollon","tv",6.94,1324,2785,46,"manga",1982
"6095","Bleach: Gotei 13 Omake","special",6.48,4100,11188,1,"manga",2005
"6096","Fight Ippatsu! Juuden-chan!! Specials","special",6.56,3223,6845,6,NA,2009
"6097","Arata naru Sekai: World's/Start/Load/End","ova",6.27,8661,19715,1,"original",2012
"6098","Shouwa Monogatari","tv",6.9,1432,5434,13,"original",2011
"6099","Rin x Sen: Hakudaku Onna Kyoushi to Yaroudomo","ova",6.55,3314,8806,2,"visual novel",2010
"6100","Zetsuai 1989","ova",6.36,6094,12020,1,"manga",1992
"6101","Kizuna Ichigeki","movie",6.54,3390,6018,1,"original",2011
"6102","Wangu Xian Qiong","ona",6.93,1340,4820,12,"novel",2017
"6103","Choujikuu Kidan Southern Cross","tv",6.58,3022,7210,23,"original",1984
"6104","Superflat Monogram","special",6.47,4214,7617,1,"original",NA
"6105","Mokei Senshi Gunpla Builders Beginning G","special",6.63,2631,5131,3,NA,2010
"6106","Grander Musashi RV","tv",7.09,958,2269,39,NA,1998
"6107","Shingeki no Bahamut: Genesis - Roundup","special",6.35,6194,15246,1,"game",2014
"6108","Comic Party Revolution","tv",6.5,3823,9224,13,"visual novel",2005
"6109","Wan Jie Xian Zong 4th Season","ona",7.19,764,1679,48,"web manga",2020
"6110","JK to Inkou Kyoushi 4","ova",6.58,2999,8868,2,"visual novel",2011
"6111","Hashire Melos (Movie)","movie",6.9,1412,5775,1,"novel",1992
"6112","Hiatari Ryoukou!","tv",7.08,972,4609,48,"manga",1987
"6113","Dwaeji-ui Wang","movie",6.69,2231,6369,1,NA,2011
"6114","Minami Kamakura Koukou Joshi Jitenshabu","tv",6.31,7167,19738,12,"manga",2017
"6115","Gun Frontier","tv",6.54,3353,9622,13,"manga",2002
"6116","Dive!!","tv",6.09,17030,48633,12,"novel",2017
"6117","Jungle Taitei","tv",6.61,2738,7195,52,"manga",1965
"6118","Wellber no Monogatari: Sisters of Wellber","tv",6.64,2543,8821,13,"original",2007
"6119","Tales of Symphonia The Animation: Kaette Kita Kratos-sensei no Private Lesson","special",6.73,2041,5629,1,"game",2008
"6120","Rinkan Biyaku Chuudoku: Nigeba Nashi! 1428-nin no Seito Zenin ni Sex Sareru Reijou Sayaka","ova",6.54,3350,8489,2,"visual novel",2015
"6121","Tokubetsu Jugyou 3 SLG The Animation","ova",6.71,2124,5977,2,"visual novel",2014
"6122","Comet Lucifer","tv",5.84,44006,103251,12,"original",2015
"6123","Free!: Take Your Marks: Character Butai Aisatsu","movie",6.89,1428,6084,4,"original",2017
"6124","Ashita Sekai ga Owaru toshitemo","movie",6.38,5534,21961,1,"original",2019
"6125","Mr.AFFECTiON","music",7.2,737,1531,1,"game",2019
"6126","Tomie","special",6.16,12622,30329,2,"manga",2018
"6127","Taiyou no Ouji: Horus no Daibouken","movie",6.5,3743,7708,1,"other",1968
"6128","Mai-HiME: Kuro no Mai/Saigo no Bansan","special",6.66,2384,5789,1,"original",2010
"6129","Ling Jian Zun 2nd Season","ona",7.03,1068,2162,30,"novel",2019
"6130","Yoshinaga-sanchi no Gargoyle","tv",6.84,1583,4784,13,"light novel",2006
"6131","Hyakuren no Haou to Seiyaku no Valkyria","tv",5.7,80418,167886,12,"light novel",2018
"6132","Gotou ni Naritai.","movie",7.1,912,2567,1,"novel",1995
"6133","Kuttsukiboshi","ova",6.04,20417,39599,2,"original",2010
"6134","Sakura Taisen: Gouka Kenran","ova",6.85,1540,4299,6,"game",1999
"6135","Naisho no Tsubomi","ova",6.52,3463,7754,3,"manga",2008
"6136","Maken-Ki! Two Specials","special",6.22,9809,23640,5,"manga",2014
"6137","Onnanoko ni Naritai","music",7.4,481,847,1,"original",2019
"6138","Herlock Saga: Nibelung no Yubiwa","ova",6.69,2184,5829,6,NA,1999
"6139","Kara no Kyoukai: Manner Movies","movie",6.41,4905,11807,7,NA,2007
"6140","Dae Jang Geum: Jang Geum's Dream 2","tv",7.2,728,1815,26,"other",2007
"6141","Captain Tsubasa: Asu ni Mukatte Hashire!","movie",6.7,2133,4524,1,NA,1986
"6142","Bronze: Zetsuai Since 1989","ova",6.38,5429,10229,1,"manga",1996
"6143","Koukaku Kidoutai Arise: Another Mission","special",6.51,3566,10875,1,NA,2013
"6144","Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen","special",6.34,6110,17957,1,"game",2017
"6145","Nurse Witch Komugi-chan Magikarte Z","ova",6.65,2414,5849,2,"original",2004
"6146","Gegege no Kitarou (2007)","tv",6.91,1343,5035,100,"manga",2007
"6147","Thermae Romae Specials","special",6.81,1671,3646,2,NA,2012
"6148","Hana no Joshi Announcer: Newscaster Etsuko","ova",6.45,4291,9156,2,"original",2004
"6149","Pinkerton","ova",6.59,2805,8238,3,"manga",2016
"6150","Gokujo.: Gokurakuin Joshikou Ryou Monogatari","tv",6.16,12162,29850,12,"manga",2012
"6151","King of Fighters: Another Day","ona",6.3,7141,12088,4,"game",2005
"6152","NG Knight Ramune & 40","tv",7.12,860,3135,38,"original",1990
"6153","Galaxy Angel Music Collection: Shouen to Shien no Cassoulet","ova",6.96,1197,3037,1,NA,2002
"6154","UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou","special",6.85,1518,3558,1,"manga",2003
"6155","Pastel Life","tv",6.58,2867,5563,6,NA,2018
"6156","Eat-Man '98","tv",6.7,2112,5452,12,"manga",1998
"6157","Je T'aime","ova",6.51,3523,7242,1,"original",2010
"6158","Stella no Mahou Specials","special",6.74,1938,4390,2,"4 koma manga",2017
"6159","Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou","tv",6.92,1296,3924,12,"original",2015
"6160","Hitchcock","music",7.28,603,1008,1,"original",2018
"6161","Knight of Erin","ova",6.59,2789,6002,4,"visual novel",2020
"6162","Honoo no Haramase Doukyuusei","ova",6.62,2583,8004,2,"visual novel",2008
"6163","Tsundere Inran Shoujo Sukumi","ova",6.53,3319,8632,2,"visual novel",2012
"6164","Rensa Byoutou","ova",6.77,1803,4963,2,"visual novel",2007
"6165","Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!","movie",6.74,1930,4552,1,"original",2006
"6166","Master Mosquiton","ova",6.67,2254,5425,6,"manga",1996
"6167","Fairy Gone","tv",5.79,49907,155944,12,"original",2019
"6168","Sasami: Mahou Shoujo Club","tv",6.64,2442,7429,13,NA,2006
"6169","Power Stone","tv",6.51,3483,7235,26,"game",1999
"6170","Interlude","ova",6.41,4760,13101,3,"visual novel",2004
"6171","Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho","special",7.01,1072,3066,1,"manga",2008
"6172","Uma Musume: Pretty Derby","ona",6.59,2752,8536,1,"game",2016
"6173","Time Bokan Series: Yatterman","tv",6.69,2131,4740,108,"original",1977
"6174","Kazoku: Haha to Shimai no Kyousei","ova",6.82,1597,4740,NA,"visual novel",2021
"6175","Bomberman Jetters","tv",6.9,1344,4029,52,"game",2002
"6176","Chibi Maruko-chan Movie","movie",7.12,847,1845,1,"manga",1990
"6177","Ajimu: Kaigan Monogatari","ona",6.35,5783,13934,4,"original",2001
"6178","Nijiiro Days: Houkago Special","special",6.71,2037,7436,1,"manga",2016
"6179","Gibomai","ova",6.61,2605,6099,2,"visual novel",2002
"6180","Lupin III: Napoleon no Jisho wo Ubae","special",6.65,2343,5856,1,NA,1991
"6181","Ai Shimai 2: Futari no Kajitsu","ova",6.49,3677,8232,2,"visual novel",2003
"6182","Kotoura-san: Haruka no Heya","ona",6.23,8975,23252,6,NA,2012
"6183","Pingu in the City (2018)","tv",6.4,4858,9709,26,"other",2018
"6184","Windaria","movie",6.5,3556,8571,1,"original",1986
"6185","B-Legend! Battle B-Daman","tv",6.29,7142,12581,52,"manga",2004
"6186","Ranma ½: Tendou-ke no Oyobidenai Yatsura!","special",6.89,1362,4192,1,NA,1992
"6187","Telepathy Shoujo Ran","tv",6.62,2531,8626,26,"novel",2008
"6188","Kodai Ouja Kyouryuu King: Yokuryuu Densetsu","tv",6.39,4972,8666,30,"game",2008
"6189","Moero! Top Striker","tv",6.69,2109,4067,49,NA,1991
"6190","Korekuraide Utau","music",6.84,1507,2492,1,"original",2011
"6191","Marco: Haha wo Tazunete Sanzenri","movie",7.1,868,2414,1,NA,1999
"6192","Ultra Maniac OVA","ova",6.65,2322,5357,1,NA,2002
"6193","Kimi no Mana wa Rina Witch","ova",6.7,2051,6218,1,"visual novel",2016
"6194","Ginyuu Mokushiroku Meine Liebe Wieder","tv",6.66,2259,7107,13,"visual novel",2006
"6195","Akazukin Chacha OVA","ova",7.05,968,2510,3,"manga",1995
"6196","Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou","special",6.47,3826,6773,1,"original",2012
"6197","Val x Love","tv",5.9,31722,85296,12,"manga",2019
"6198","Ace wo Nerae! 2","ova",7.08,899,2683,13,"manga",1988
"6199","Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo","special",7.14,790,1802,1,"manga",2015
"6200","Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze","movie",6.58,2745,5970,1,"manga",2010
"6201","Warau Salesman New","tv",6.28,7214,17570,12,"manga",2017
"6202","Kuro Gal ni Natta kara Shinyuu to shitemita.","ona",6.14,12329,36366,8,"manga",2021
"6203","Monmusu Quest!","ona",6.59,2675,7044,2,"visual novel",2017
"6204","Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA","ova",6.06,16823,38656,1,"light novel",2020
"6205","Lupin III: Babylon no Ougon Densetsu","movie",6.49,3570,7876,1,"manga",1985
"6206","Puraore! Pride of Orange","tv",6.29,6972,22640,12,"mixed media",2021
"6207","Spider Riders: Yomigaeru Taiyou","tv",6.7,2027,4388,26,"novel",2007
"6208","Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku","movie",6.8,1631,3348,1,"manga",2009
"6209","Junjou Shoujo Et Cetera","ova",6.65,2288,6199,2,"manga",2013
"6210","Zoids Fuzors","tv",6.39,4872,10630,26,NA,2004
"6211","gdgd Fairies 2","tv",6.93,1213,2391,12,"original",2013
"6212","Chitose Get You!!","tv",6.21,9396,19742,26,"4 koma manga",2012
"6213","Kaze no Naka no Shoujo: Kinpatsu no Jeanie","tv",7.03,1000,3434,52,NA,1992
"6214","Battle Spirits: Shounen Gekiha Dan","tv",6.97,1112,3145,50,"card game",2009
"6215","Loups=Garous","movie",6.27,7378,17082,1,"novel",2010
"6216","Kingyo Chuuihou!","tv",7.26,600,2834,54,NA,1991
"6217","Revisions","tv",6.04,17918,59313,12,"original",2019
"6218","Fushigi Yuugi Special: Nakago Shikkari Shinasai!","special",7.1,850,2623,2,"manga",1996
"6219","Midnight Eye: Gokuu","ova",6.45,4016,10268,1,"manga",1989
"6220","Nama Lo Re: Furachimono The Animation","ova",6.6,2580,6185,1,"manga",2016
"6221","Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special","special",6.27,7326,14576,1,"manga",2011
"6222","Kaze wo Mita Shounen","movie",6.69,2051,5510,1,"book",2000
"6223","Rifle Is Beautiful","tv",6.18,10248,34482,12,"4 koma manga",2019
"6224","Lupin III: Touhou Kenbunroku - Another Page","special",6.79,1648,4586,1,"manga",2012
"6225","Dirty Pair: Bouryaku no 005-bin","ova",6.77,1718,4177,1,"light novel",1990
"6226","Minky Momo in Yume ni Kakeru Hashi","ova",7.08,877,2353,1,NA,1993
"6227","Girls & Panzer: Kore ga Hontou no Anzio-sen Desu! - Fushou Akiyama Yukari no Sensha Kouza","special",6.94,1170,4156,1,"original",2014
"6228","Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi","movie",7.26,593,2162,1,"original",2020
"6229","Stratos 4 Advance","ova",6.83,1482,3458,6,"original",2005
"6230","Mitsuami no Kamisama","movie",6.8,1599,4219,1,"manga",2015
"6231","Manga ""Bakemonogatari"" Shaft Seisaku Tokubetsu PV","ona",7.2,674,1322,1,"light novel",2022
"6232","Cyborg 009 VS Devilman","ova",6.29,6759,13145,3,"manga",2015
"6233","Ohoshi-sama no Rail","movie",7.03,983,3367,1,"novel",1993
"6234","Buddy Complex: Daremo Shiranai Ashita e","ona",6.95,1133,3306,1,"original",2014
"6235","Koutetsu Jeeg","tv",7.04,964,2981,46,"original",1975
"6236","Otome*Domain The Animation","ova",6.73,1861,4718,1,"visual novel",2017
"6237","Neo Ranga","tv",6.56,2824,12617,48,"original",1998
"6238","Fukubiki! Triangle: Futaba wa Atafuta ♥","ova",6.53,3108,8125,1,"visual novel",2015
"6239","Lemon Angel Project","tv",6.56,2823,7994,13,"other",2006
"6240","Another: Misaki Mei - Shizukani","music",6.14,11829,23640,1,"novel",2013
"6241","Soratobu Yuureisen","movie",6.59,2610,4957,1,"manga",1969
"6242","Children Record","music",6.78,1669,3489,2,"music",2012
"6243","Utawarerumono: Tusukuru-koujo no Karei Naru Hibi","ova",6.73,1855,8138,1,"visual novel",2018
"6244","Kiss Dum: Engage Planet","tv",6.57,2735,10127,26,"original",2007
"6245","XL Joushi.","ona",6.17,10500,30734,8,"manga",2019
"6246","Ze Tian Ji 4th Season","ona",7.11,814,2167,12,"novel",2018
"6247","Tongari Boushi no Memole","tv",7.08,868,2514,50,"original",1984
"6248","To Heart 2 AD Plus","ova",6.71,1935,5436,2,"visual novel",2009
"6249","Sengoku Night Blood","tv",6.14,11691,40852,12,"visual novel",2017
"6250","Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de","ova",6.97,1075,3155,1,NA,1988
"6251","Bannou Bunka Neko-Musume (1998)","tv",6.58,2652,7223,12,"original",1998
"6252","Natsu-iro no Sunadokei","ova",6.49,3448,8317,2,"visual novel",2004
"6253","Shaonu Qianxian: Renxing Xiao Juchang","ona",6.73,1845,5690,24,"game",2019
"6254","Mahou no Star Magical Emi","tv",6.91,1229,4386,38,"original",1985
"6255","Vanitas no Karte: Le Chemin Parcouru Depuis la Rencontre","special",6.8,1579,4933,1,"manga",2021
"6256","Fate/Apocrypha Recaps","special",6.4,4537,16363,2,"light novel",2017
"6257","Precure Dream Stars! Movie","movie",6.95,1117,3190,1,"original",2017
"6258","Precure All Stars GoGo Dream Live!","special",6.85,1400,3673,1,"original",2008
"6259","Boukyaku no Senritsu","tv",6.32,5896,17782,24,"manga",2004
"6260","Papa to Kiss in the Dark","ova",5.91,28217,47742,2,"light novel",2005
"6261","Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen","movie",6.76,1720,3559,1,"manga",1999
"6262","Sora no Manimani Specials","special",6.56,2777,5620,3,"manga",2009
"6263","Getter Robo","tv",6.76,1719,7091,51,"manga",1974
"6264","Hi no Tori: Houou-hen","movie",6.89,1277,3275,1,"manga",1986
"6265","Green Green Thirteen: Erolutions","ova",6.1,13686,24026,1,"visual novel",2004
"6266","Shin Sei Yariman Gakuen Enkou Nikki The Animation","ova",6.55,2857,7331,1,"visual novel",2014
"6267","Fate/strange Fake","ona",6.6,2508,6983,1,"light novel",2019
"6268","PriPara Movie: Mi~nna no Akogare♪ Let's Go☆Prix Paris","movie",7.18,693,2020,1,"game",2016
"6269","Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie","special",6.52,3134,10568,13,"light novel",2013
"6270","Makai Senki Disgaea: Welcome to Netherworld","special",6.72,1865,4700,1,"game",2006
"6271","Jungle Taitei (1989)","tv",6.77,1672,4269,52,"manga",1989
"6272","Choujuushin Gravion","tv",6.39,4629,12540,13,"original",2002
"6273","Mobile Suit Gundam SEED MSV Astray","ova",6.34,5382,11797,2,"original",2004
"6274","Geneshaft","tv",6.35,5208,13164,13,"original",2001
"6275","Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai","special",6.67,2085,7435,1,"visual novel",2019
"6276","Sayonara Watashi no Cramer","tv",6.09,14018,39480,13,"manga",2021
"6277","Soukou Kihei Votoms: Koei Futatabi","ova",6.91,1207,2896,1,"original",2011
"6278","A song for You! You? You!!","music",7.03,957,1808,1,"other",2020
"6279","D.C. I&II P.S.P. Re-Animated","ova",6.66,2134,6172,1,"visual novel",2010
"6280","Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri","movie",6.91,1204,2571,1,"manga",2017
"6281","Muka Muka Paradise","tv",6.92,1174,2469,51,NA,1993
"6282","Next A-Class","ona",6.4,4449,8087,1,"original",2012
"6283","Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!","movie",6.72,1848,3680,1,"manga",2006
"6284","Rinkan Club","ova",6.55,2821,7907,4,"visual novel",2011
"6285","Bakuon!! OVA","ova",6.41,4308,9292,2,"manga",2016
"6286","Chizuru-chan Kaihatsu Nikki","ova",6.68,2025,4245,6,"manga",2021
"6287","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap","special",6.83,1432,3099,2,"light novel",2022
"6288","Mashiro-iro Symphony: The Color of Lovers Picture Drama","special",6.47,3574,9626,2,NA,2012
"6289","Yatogame-chan Kansatsu Nikki Sansatsume","tv",6.37,4843,12812,12,"4 koma manga",2021
"6290","Haikara-san ga Tooru","tv",7.15,734,5339,42,"manga",1978
"6291","Panyo Panyo Di Gi Charat","tv",6.72,1846,5246,48,NA,2002
"6292","Shin Koihime†Musou: Otome Tairan - Gakuensai da yo! Zenin Shuugou no Koto","ova",6.67,2065,5423,1,"visual novel",2011
"6293","Ginyuu Mokushiroku Meine Liebe","tv",6.44,3905,12392,13,"visual novel",2004
"6294","Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!","special",6.57,2643,7163,1,"original",2007
"6295","Soredemo Tsuma wo Aishiteru","ova",6.46,3694,9341,3,"visual novel",2011
"6296","Shoujo Kyouiku RE","ova",6.62,2325,5295,2,"visual novel",2019
"6297","Macross II: Lovers Again","ova",6.32,5682,11540,6,"original",1992
"6298","Pokemon: Pikachu no Wanpaku Island","special",6.39,4515,9749,1,"game",2006
"6299","Echo","music",7.13,754,1348,1,"manga",2022
"6300","Ai Tenchi Muyou!","tv",6.16,10263,32867,50,"original",2014
"6301","Dragon Quest: Yuusha Abel Densetsu","tv",6.84,1390,5659,43,"game",1990
